objectId,createdAt,updatedAt,ACL,Category,Year,Make,Model
SAcDrXuba4,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Pickup,2020,Toyota,Tacoma Double Cab
6JaEDMeiTk,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Coupe,2020,Toyota,GR Supra
rvTNpTvBWS,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,SUV,2020,Toyota,RAV4 Hybrid
yQqIjnqhkg,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,SUV,2020,Toyota,Sequoia
WwUXBRSv2w,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Sedan,2020,Toyota,Corolla
QC59Hx9HcF,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Sedan,2019,Toyota,Camry Hybrid
Z7oiPo7F39,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Sedan,2020,Toyota,Camry Hybrid
BRqpQwyPZh,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,SUV,2020,Toyota,Highlander Hybrid
eJfSKUCGFS,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Pickup,2020,Toyota,Tacoma Access Cab
ByO83Jdx4a,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Sedan,2020,Toyota,Avalon
5qjmBV6Y8N,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,SUV,2019,Toyota,RAV4
C3U5OCCmTS,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Sedan,2019,Toyota,Mirai
xDW1syDp5D,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Sedan,2020,Toyota,Corolla Hybrid
LvrBvYwIba,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Sedan,2020,Toyota,Yaris
4LvQ9e1v3h,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,SUV,2018,Toyota,4Runner
eSflgEd0lA,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,SUV,2020,Toyota,Highlander
Utt3Huf2Hl,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,SUV,2020,Toyota,4Runner
fUIxh7fGZL,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Hatchback,2020,Toyota,Yaris Hatchback
IpyATBPv8T,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Hatchback,2020,Toyota,Corolla Hatchback
k8zLtmfxeO,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,SUV,2020,Toyota,RAV4
nok0tQaeTY,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Sedan,2019,Toyota,Avalon
IhimWvKgF8,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Pickup,2019,Toyota,Tacoma Access Cab
JQASsTiAYw,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Hatchback,2019,Toyota,Prius Prime
F6oTnY3DUG,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Hatchback,2018,Toyota,Prius Prime
TTTkSHg50n,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Pickup,2020,Toyota,Tundra CrewMax
ot6ulJ7L23,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Pickup,2019,Toyota,Tundra Double Cab
pDy4Wh6Lbu,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Sedan,2018,Toyota,Camry Hybrid
kbLLUS0rPx,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Hatchback,2017,Toyota,Prius
QXM3RElrNp,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,SUV,2018,Toyota,Sequoia
Vml7tJAkdi,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Sedan,2018,Toyota,Corolla
npBgcKLAAa,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,SUV,2017,Toyota,Highlander Hybrid
jePMKOiQmH,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Sedan,2020,Toyota,Avalon Hybrid
aSgg5lsHtT,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Coupe,2020,Toyota,86
CF1GZv1obV,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Hatchback,2020,Toyota,Prius
aQHzrmnodR,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,SUV,2020,Toyota,C-HR
M7UIbL21MX,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Coupe,2019,Toyota,86
YQHIE6tl9z,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,SUV,2019,Toyota,C-HR
E0BqMwzTD1,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Sedan,2019,Toyota,Avalon Hybrid
jvkMyoaWgs,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Hatchback,2019,Toyota,Prius
Ohc4C7urDW,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Van/Minivan,2019,Toyota,Sienna
Lt03B3TN27,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,SUV,2019,Toyota,Highlander Hybrid
kVeOPUNUgA,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Sedan,2019,Toyota,Yaris
wFPu9CtAEu,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Hatchback,2018,Toyota,Yaris
iumP70sL1Y,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Hatchback,2017,Toyota,Prius Prime
Gss4hkNglK,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,SUV,2018,Toyota,Highlander Hybrid
YT0wYBMELd,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Hatchback,2018,Toyota,Prius
rA8w2bFDtz,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Sedan,2018,Toyota,Yaris iA
9UOOEIWst2,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Wagon,2017,Toyota,Prius v
JPwZVcPkQz,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Hatchback,2018,Toyota,Prius c
qZEuvH5m8G,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,SUV,2017,Toyota,Land Cruiser
FIFtNhmgAT,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Pickup,2017,Toyota,Tacoma Access Cab
FuiFTyanYF,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Sedan,2020,Toyota,Camry
SuH6Wbvge4,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Hatchback,2020,Toyota,Prius Prime
LaGdqwpMWG,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,SUV,2020,Toyota,Land Cruiser
OZoFYWRAcz,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Van/Minivan,2020,Toyota,Sienna
3xv67YuvY9,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Sedan,2019,Toyota,Corolla
ZRKcPb6bqH,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,SUV,2019,Toyota,Highlander
O4Hhz282EC,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Pickup,2019,Toyota,Tacoma Double Cab
ZY7QbxhyQR,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Sedan,2019,Toyota,Camry
GNyvwVlK2W,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,SUV,2018,Toyota,C-HR
QfqnYQ7XYX,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Sedan,2018,Toyota,Camry
COgHW5lsaz,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,SUV,2019,Toyota,Sequoia
523EJseEMe,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,SUV,2017,Toyota,Highlander
6socXXLYnD,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Sedan,2017,Toyota,Mirai
0sMXO9FpGp,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Pickup,2018,Toyota,Tacoma Access Cab
cBaXIsZnRL,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Pickup,2018,Toyota,Tundra CrewMax
CSYZ29qlJG,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,SUV,2017,Toyota,4Runner
9Fo4XYb4DZ,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,SUV,2017,Toyota,Sequoia
vNaaZlszFm,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Coupe,2017,Toyota,86
r5MXWyi2hZ,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,SUV,2018,Toyota,RAV4 Hybrid
fY8qDXFUFV,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Pickup,2017,Toyota,Tundra CrewMax
Hcjira8JJC,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Hatchback,2019,Toyota,Prius c
CEWCWOxAJ2,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Pickup,2020,Toyota,Tundra Double Cab
gblsyrHYcM,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Hatchback,2019,Toyota,Corolla Hatchback
P1LA8AsDql,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Sedan,2018,Toyota,Avalon
z4eF6iB446,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,SUV,2019,Toyota,4Runner
pDUGd84aRF,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Sedan,2018,Toyota,Mirai
gKhrylqHIm,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,SUV,2019,Toyota,RAV4 Hybrid
KenZREXWs2,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Sedan,2018,Toyota,Avalon Hybrid
3ECzxKVQNT,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,SUV,2017,Toyota,RAV4 Hybrid
UUQMUky1tJ,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Sedan,2017,Toyota,Corolla
s4xoyi4t3G,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Sedan,2017,Toyota,Avalon Hybrid
hvlWyWhx2Q,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Sedan,2017,Toyota,Avalon
P4XPLMfj1y,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Pickup,2018,Toyota,Tundra Double Cab
YG4FkT1m9r,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Hatchback,2017,Toyota,Corolla iM
UMdbBkcYZP,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Van/Minivan,2017,Toyota,Sienna
TuO2wSuFBR,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Pickup,2017,Toyota,Tundra Double Cab
uYhhXJY262,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,SUV,2019,Toyota,Land Cruiser
CDKmP0IIhh,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Coupe,2018,Toyota,86
3kqpcontFb,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Pickup,2019,Toyota,Tundra CrewMax
h34OF1Ug4L,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,SUV,2018,Toyota,Highlander
MhC6qBcC2x,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,SUV,2018,Toyota,Land Cruiser
5EQnyJm0nM,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Van/Minivan,2018,Toyota,Sienna
QTIWCURh7v,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,SUV,2018,Toyota,RAV4
TgOSSF9QmF,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Pickup,2018,Toyota,Tacoma Double Cab
v5O2SRCASg,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Sedan,2017,Toyota,Camry Hybrid
eKtaEFjSSM,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Pickup,2017,Toyota,Tacoma Double Cab
XxSLhLhoFD,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,SUV,2017,Toyota,RAV4
UogwOKUqCC,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Sedan,2017,Toyota,Camry
FAPOvNuSzL,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Hatchback,2018,Toyota,Corolla iM
AGNWP3OiME,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Hatchback,2017,Toyota,Prius c
GvEleKa6s9,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Pickup,2017,Toyota,Tundra Regular Cab
ve6AieFvtQ,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,SUV,2016,Toyota,Sequoia
JECYOI6qBw,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Sedan,2016,Toyota,Mirai
tmip7nYCEB,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Hatchback,2016,Toyota,Prius
gVG6uYUKAf,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Sedan,2016,Toyota,Corolla
khgekCXPOj,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,SUV,2016,Toyota,RAV4
M8zGiTU7yk,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,SUV,2016,Toyota,4Runner
HHdybFvYes,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,SUV,2016,Toyota,Land Cruiser
GIL0EzAIqO,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Hatchback,2017,Toyota,Yaris
xyyxEDGVEq,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Pickup,2016,Toyota,Tacoma Access Cab
k3WB0mv0rF,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Sedan,2017,Toyota,Yaris iA
5X3NM70y7s,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Sedan,2016,Toyota,Avalon
zbojFQ5lq3,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Pickup,2016,Toyota,Tundra Double Cab
WAO3g705d1,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Hatchback,2016,Toyota,Prius c
ExerrvSrV7,Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),Mon Jan 27 2020 14:19:02 GMT-0800 (Pacific Standard Time),null,Pickup,2016,Toyota,Tundra CrewMax
